,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
25,6581033105748921606,2018-07-22 13:29:34,1362.2722157407,14,Monster,12500000,813800,287200,8283,5000000,10200,493350.0,45550.0,44.0
50,6585484066642988293,2018-08-03 13:21:34,1352.0919315625,15,,21200,1647,30,6,496,3,476.5,21.5,612.0
86,6588532756412632325,2018-08-11 18:32:02,1007.6594403935,14,,74300,9062,2590,30,48400,6,9794.0,608.0,393.0
121,6586429981285420293,2018-08-06 02:32:12,1391.688734213,14,Mega Francesita (Remix),2900000,369400,2209,47,43100,35,40850.0,1538.5,889.0
197,6683944968031046917,2019-04-25 21:20:09,1088.1201471875,13,,66700,5780,2358,171,48200,11,41900.0,2060.0,96.0
205,6600346203127287045,2018-09-12 14:34:15,1340.2908569676,14,,326600,24900,1272,25,30400,25,30400.0,1952.0,1482.0
215,6602405579811982593,2018-09-18 03:45:41,1307.9431473727,13,Oh Nanana - Remix,7600000,815800,9462,121,154400,90,154400.0,7288.0,334.0
255,6629262983174294790,2018-11-29 12:46:07,894.1256985764,15,,24200000,1500000,41700,202,415200,50,71300.0,4612.0,108.0
273,6626146906122751237,2018-11-21 03:14:09,902.5243504514,14,DIL DOOBA,1700000,70900,24000,281,293800,93,5938.0,683.0,1380.0
296,6624833733432184070,2018-11-17 14:18:22,909.846173588,15,,360500,16800,8682,24,107100,87,200400.0,17500.0,145.0
326,6637777642403663110,2018-12-22 11:27:21,949.8690191898,14,,145300000,7900000,33700,310,262200,308,68600.0,5497.0,45.0
335,6624771864843521281,2018-11-17 10:18:17,863.8638518056,15,SOLO,3100000,430700,3987,76,93200,34,87600.0,4109.0,991.0
361,6631869745039674629,2018-12-06 13:21:41,1269.2917667824,14,dj sonu,678100,70800,407,2,3616,1,6872.0,534.0,1034.0
384,6639164277875805445,2018-12-26 05:08:12,1251.9171183449,14,"Cham Cham (From ""Baaghi"" )",42600,8831,221,3,1638,4,18900.0,1918.0,944.0
427,6674480681050967301,2019-03-31 09:13:53,776.0865809375,14,,1400000,108300,2442,41,44200,105,12100.0,1053.0,398.0
441,6653590294249868550,2019-02-03 02:08:31,903.4146708333,14,,69400,8146,137,3,1890,1,1890.0,137.0,340.0
