,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
25,2018-07-22 13:29:34,13.622.722.157.407,14,Monster,12500000,813800,287200,8283,5000000,10200,493350.0,45550.0,44.0,6581033105748921606,2,5,2,2,4,1,,,,2,5,2,2,4,1,,7,4,5,7,4,5
50,2018-08-03 13:21:34,13.520.919.315.625,15,,21200,1647,30,6,496,3,476.5,21.5,612.0,6585484066642988293,4,4,4,4,2,0,,,,4,4,4,4,2,1,,8,8,2,8,8,3
86,2018-08-11 18:32:02,10.076.594.403.935,14,,74300,9062,2590,30,48400,6,9794.0,608.0,393.0,6588532756412632325,4,3,3,3,2,1,,,,4,3,3,3,2,1,,7,6,3,6,6,3
121,2018-08-06 02:32:12,1.391.688.734.213,14,Mega Francesita (Remix),2900000,369400,2209,47,43100,35,40850.0,1538.5,889.0,6586429981285420293,2,4,1,1,4,1,,,,2,4,1,1,4,1,,6,2,5,5,2,5
197,2019-04-25 21:20:09,10.881.201.471.875,13,,66700,5780,2358,171,48200,11,41900.0,2060.0,96.0,6683944968031046917,1,2,1,1,5,1,2 people,,,1,2,1,1,5,1,2 people,3,2,6,3,2,6
205,2018-09-12 14:34:15,13.402.908.569.676,14,,326600,24900,1272,25,30400,25,30400.0,1952.0,1482.0,6600346203127287045,2,3,2,2,3,1,,,,1,1,3,2,2,1,,5,4,4,4,5,3
215,2018-09-18 03:45:41,13.079.431.473.727,13,Oh Nanana - Remix,7600000,815800,9462,121,154400,90,154400.0,7288.0,334.0,6602405579811982593,1,2,1,1,2,1,,,,2,2,2,2,2,1,,3,2,3,4,4,3
255,2018-11-29 12:46:07,8.941.256.985.764,15,,24200000,1500000,41700,202,415200,50,71300.0,4612.0,108.0,6629262983174294790,1,1,1,1,3,1,,,,2,1,1,2,3,1,minimal repetition,2,2,4,2,3,4
273,2018-11-21 03:14:09,9.025.243.504.514,14,DIL DOOBA,1700000,70900,24000,281,293800,93,5938.0,683.0,1380.0,6626146906122751237,3,3,4,4,3,1,,,,2,3,3,2,3,1,,6,8,4,6,5,4
296,2018-11-17 14:18:22,909.846.173.588,15,,360500,16800,8682,24,107100,87,200400.0,17500.0,145.0,6624833733432184070,2,3,2,3,3,1,,,,4,3,4,2,3,1,a bit unclear,5,5,4,7,6,4
326,2018-12-22 11:27:21,9.498.690.191.898,14,,145300000,7900000,33700,310,262200,308,68600.0,5497.0,45.0,6637777642403663110,3,3,4,5,4,1,,,,2,3,4,5,2,1,,6,9,5,7,9,3
335,2018-11-17 10:18:17,8.638.638.518.056,15,SOLO,3100000,430700,3987,76,93200,34,87600.0,4109.0,991.0,6624771864843521281,2,3,3,4,3,1,,,,3,3,3,4,3,1,,5,7,4,6,7,4
361,2018-12-06 13:21:41,12.692.917.667.824,14,dj sonu,678100,70800,407,2,3616,1,6872.0,534.0,1034.0,6631869745039674629,2,2,3,3,2,1,,,,1,1,2,2,2,0,,4,6,3,3,4,2
